Year	Count	DataSetType	Type
2019	3316	expression profiling by high throughput sequencing	sequencing
2020	4552	expression profiling by high throughput sequencing	sequencing
2021	6130	expression profiling by high throughput sequencing	sequencing
2022	6878	expression profiling by high throughput sequencing	sequencing
2023	7067	expression profiling by high throughput sequencing	sequencing
2000	0	genome binding/occupancy profiling by high throughput sequencing	sequencing
2001	0	genome binding/occupancy profiling by high throughput sequencing	sequencing
2002	0	genome binding/occupancy profiling by high throughput sequencing	sequencing
2003	0	genome binding/occupancy profiling by high throughput sequencing	sequencing
2004	0	genome binding/occupancy profiling by high throughput sequencing	sequencing
2005	0	genome binding/occupancy profiling by high throughput sequencing	sequencing
2006	0	genome binding/occupancy profiling by high throughput sequencing	sequencing
2007	1	genome binding/occupancy profiling by high throughput sequencing	sequencing
2008	14	genome binding/occupancy profiling by high throughput sequencing	sequencing
2009	30	genome binding/occupancy profiling by high throughput sequencing	sequencing
2010	87	genome binding/occupancy profiling by high throughput sequencing	sequencing
2011	144	genome binding/occupancy profiling by high throughput sequencing	sequencing
2012	199	genome binding/occupancy profiling by high throughput sequencing	sequencing
2013	250	genome binding/occupancy profiling by high throughput sequencing	sequencing
2014	342	genome binding/occupancy profiling by high throughput sequencing	sequencing
2015	440	genome binding/occupancy profiling by high throughput sequencing	sequencing
2016	779	genome binding/occupancy profiling by high throughput sequencing	sequencing
2017	2863	genome binding/occupancy profiling by high throughput sequencing	sequencing
2018	888	genome binding/occupancy profiling by high throughput sequencing	sequencing
2019	1538	genome binding/occupancy profiling by high throughput sequencing	sequencing
2020	1390	genome binding/occupancy profiling by high throughput sequencing	sequencing
2021	5009	genome binding/occupancy profiling by high throughput sequencing	sequencing
2022	2636	genome binding/occupancy profiling by high throughput sequencing	sequencing
2023	2221	genome binding/occupancy profiling by high throughput sequencing	sequencing
2000	0	genome variation profiling by high throughput sequencing	sequencing
2001	0	genome variation profiling by high throughput sequencing	sequencing
2002	0	genome variation profiling by high throughput sequencing	sequencing
2003	0	genome variation profiling by high throughput sequencing	sequencing
2004	0	genome variation profiling by high throughput sequencing	sequencing
2005	0	genome variation profiling by high throughput sequencing	sequencing
2006	0	genome variation profiling by high throughput sequencing	sequencing
2007	0	genome variation profiling by high throughput sequencing	sequencing
2008	0	genome variation profiling by high throughput sequencing	sequencing
2009	1	genome variation profiling by high throughput sequencing	sequencing
2010	2	genome variation profiling by high throughput sequencing	sequencing
2011	2	genome variation profiling by high throughput sequencing	sequencing
2012	8	genome variation profiling by high throughput sequencing	sequencing
2013	1	genome variation profiling by high throughput sequencing	sequencing
2014	4	genome variation profiling by high throughput sequencing	sequencing
2015	12	genome variation profiling by high throughput sequencing	sequencing
2016	7	genome variation profiling by high throughput sequencing	sequencing
2017	9	genome variation profiling by high throughput sequencing	sequencing
2018	9	genome variation profiling by high throughput sequencing	sequencing
2019	11	genome variation profiling by high throughput sequencing	sequencing
2020	17	genome variation profiling by high throughput sequencing	sequencing
2021	28	genome variation profiling by high throughput sequencing	sequencing
2022	17	genome variation profiling by high throughput sequencing	sequencing
2023	18	genome variation profiling by high throughput sequencing	sequencing
2000	0	methylation profiling by high throughput sequencing	sequencing
2001	0	methylation profiling by high throughput sequencing	sequencing
2002	0	methylation profiling by high throughput sequencing	sequencing
2003	0	methylation profiling by high throughput sequencing	sequencing
2004	0	methylation profiling by high throughput sequencing	sequencing
2005	0	methylation profiling by high throughput sequencing	sequencing
2006	0	methylation profiling by high throughput sequencing	sequencing
2007	0	methylation profiling by high throughput sequencing	sequencing
2008	1	methylation profiling by high throughput sequencing	sequencing
2009	7	methylation profiling by high throughput sequencing	sequencing
2010	12	methylation profiling by high throughput sequencing	sequencing
2011	29	methylation profiling by high throughput sequencing	sequencing
2012	58	methylation profiling by high throughput sequencing	sequencing
